,jobTitle,company,location,salary,shift,workTime
68,IT Support Specialist,Rutgers University,"New Brunswick, NJ 08901","Temporary
+1",Day shift,
69,"VP, Corporate Technology & MGS",Mars,"Newark, NJ 07102 
(Central Business District area)",Full-time,,
70,Sr Specialist Cybersecurity,AT&T,"Middletown, NJ 07748","$105,600 - $158,400 a year",Full-time,
71,Data Scientist,Matrix-International Financial Services,"Jersey City, NJ 07311 
(The Waterfront area)",,,
72,IT Support Technician,"InfoTran Engineers & Architects , P.C.","East Orange, NJ 07018",,,
73,Sr Specialist Member of Technical Staff,AT&T,"Middletown, NJ 07748","$122,000 - $183,000 a year",Full-time,
74,Junior Implementation Consultant,Stilog Inc.,"Hybrid work in Hoboken, NJ 07030","$55,000 - $65,000 a year",Full-time,
75,Jr. Support Engineer,Triwave Solutions Inc,"Hybrid work in Edison, NJ 08817",$55 - $60 an hour,Contract,
76,Senior Associate- Machine Learning Scientist,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)","$128,250 - $195,000 a year",Full-time,
77,IT Technician,Camden County College,New Jersey,"$42,000 - $45,000 a year",Full-time,"Weekends as needed
+2"
78,Technology Strategy and Execution - Business Analyst,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",,,
79,Desktop Support Specialist,Convisorit,"Princeton, NJ 08540",,,
80,Chief Technology Officer *Repost*,Princeton Public Schools,"Princeton, NJ","$150,000 - $170,000 a year",,
81,ONBASE PROGRAMMER / SYSTEM ADMIN,Intone Networks,"Jersey City, NJ",Contract,,
82,JAVA Developer-Air Traffic,Leidos,New Jersey,"$81,250 - $146,875 a year",Full-time,
83,Technical Support Technician,Trinity Solar Careers,"Hybrid work in Wall, NJ 07719","$50,000 - $60,000 a year",,
84,Lead Systems Analyst,Mondelēz International,Remote in New Jersey,"$103,200 - $154,800 a year",Full-time,
85,Associate Product Owner Syndicated Loan Markets,JPMorgan Chase & Co,"Hybrid work in Jersey City, NJ 07310","$94,050 - $131,000 a year",Full-time,
86,CDE Data Engineer,NBCUniversal,"Englewood Cliffs, NJ 07632",,,
87,Infrastructure Engineer Associate - Mobile Device Management (Remote Eligible),Mathematica Policy Research,"Remote in Princeton, NJ","$60,000 - $70,000 a year",Full-time,"Weekends as needed
+1"
88,2024 Information Technology Development Program,"Everest Re Group, Ltd.","Warren, NJ",Full-time,,
89,IT Support Technician I,"Marotta Controls, Inc.","Hybrid work in Parsippany, NJ 07054",,,
